  time        Trial                     Stage       BCI_on      IDLE_on        tgt_x        tgt_y        tgt_z          Hit       EYE_on
 0.000            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 0.060            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 0.120            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 0.171            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 0.235            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 0.290            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 0.350            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 0.410            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 0.470            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 0.528            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 0.588            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 0.648            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 0.708            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 0.768            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 0.828            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 0.888            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 0.948            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 1.008            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 1.068            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 1.128            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 1.188            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 1.248            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 1.308            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 1.368            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 1.428            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 1.488            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 1.548            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 1.598            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 1.649            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 1.699            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 1.751            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 1.809            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 1.873            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 1.932            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 2.000            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 2.055            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 2.108            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 2.165            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 2.225            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 2.285            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 2.345            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 2.405            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 2.465            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 2.525            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 2.585            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 2.645            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 2.707            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 2.768            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 2.828            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 2.888            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 2.948            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 3.008            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 3.068            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 3.128            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 3.188            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 3.248            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 3.308            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 3.368            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 3.428            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 3.488            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 3.548            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 3.601            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 3.661            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 3.711            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 3.771            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 3.822            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 3.873            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 3.923            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 3.983            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 4.040            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 4.090            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 4.140            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 4.191            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 4.246            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 4.302            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 4.352            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 4.402            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 4.462            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 4.515            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 4.603            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 4.653            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 4.713            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 4.773            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 4.833            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 4.893            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 4.953            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
