  time        pos_x        pos_y        vel_x        vel_y    BCI_pos_x    BCI_pos_y    BCI_vel_x    BCI_vel_y
 0.000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 0.060     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 0.120     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 0.171     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 0.235     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 0.290     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 0.350     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 0.410     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 0.470     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 0.528     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 0.588     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 0.648     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 0.708     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 0.768     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 0.828     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 0.888     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 0.948     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 1.008     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 1.068     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 1.128     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 1.188     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 1.248     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 1.308     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 1.368     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 1.428     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 1.488     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 1.548     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 1.598     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 1.649     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 1.699     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 1.751     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 1.809     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 1.873     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 1.932     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 2.000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 2.055     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 2.108     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 2.165     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 2.225     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 2.285     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 2.345     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 2.405     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 2.465     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 2.525     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 2.585     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 2.645     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 2.707     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 2.768     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 2.828     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 2.888     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 2.948     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 3.008     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 3.068     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 3.128     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 3.188     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 3.248     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 3.308     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 3.368     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 3.428     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 3.488     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 3.548     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 3.601     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 3.661     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 3.711     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 3.771     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 3.822     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 3.873     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 3.923     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 3.983     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 4.040     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
