  time     K
       0.000         0.000
       0.060         0.000
       0.120         0.000
       0.171         0.000
       0.235         0.000
       0.290         0.000
       0.350         0.000
       0.410         0.000
       0.470         0.000
       0.528         0.000
       0.588         0.000
       0.648         0.000
       0.708         0.000
       0.768         0.000
       0.828         0.000
       0.888         0.000
       0.948         0.000
       1.008         0.000
       1.068         0.000
       1.128         0.000
       1.188         0.000
       1.248         0.000
       1.308         0.000
       1.368         0.000
       1.428         0.000
       1.488         0.000
       1.548         0.000
       1.598         0.000
       1.649         0.000
       1.699         0.000
       1.751         0.000
       1.809         0.000
       1.873         0.000
       1.932         0.000
       2.000         0.000
       2.055         0.000
       2.108         0.000
       2.165         0.000
       2.225         0.000
       2.285         0.000
       2.345         0.000
       2.405         0.000
       2.465         0.000
       2.525         0.000
       2.585         0.000
       2.645         0.000
       2.707         0.000
       2.768         0.000
       2.828         0.000
       2.888         0.000
       2.948         0.000
       3.008         0.000
       3.068         0.000
       3.128         0.000
       3.188         0.000
       3.248         0.000
       3.308         0.000
       3.368         0.000
       3.428         0.000
       3.488         0.000
       3.548         0.000
       3.601         0.000
       3.661         0.000
       3.711         0.000
       3.771         0.000
       3.822         0.000
       3.873         0.000
       3.923         0.000
       3.983         0.000
       4.040         0.000
       4.090         0.000
       4.140         0.000
       4.191         0.000
       4.246         0.000
       4.302         0.000
       4.352         0.000
       4.402         0.000
       4.462         0.000
       4.515         0.000
       4.603         0.000
       4.653         0.000
       4.713         0.000
       4.773         0.000
       4.833         0.000
       4.893         0.000
       4.953         0.000
       5.013         0.000
       5.073         0.000
       5.133         0.000
       5.193         0.000
       5.253         0.000
       5.324         0.000
       5.375         0.000
       5.434         0.000
       5.494         0.000
       5.554         0.000
       5.615         0.000
       5.667         0.000
       5.726         0.000
       5.786         0.000
       5.848         0.000
       5.909         0.000
       5.967         0.000
       6.027         0.000
       6.079         0.000
       6.128         0.000
       6.180         0.000
       6.238         0.000
       6.289         0.000
       6.341         0.000
       6.401         0.000
       6.461         0.000
       6.522         0.000
       6.583         0.000
       6.644         0.000
       6.705         0.000
       6.766         0.000
       6.823         0.000
       6.885         0.000
       6.950         0.000
       7.007         0.000
       7.068         0.000
       7.133         0.000
       7.191         0.000
       7.252         0.000
       7.311         0.000
       7.362         0.000
       7.424         0.000
       7.482         0.000
       7.538         0.000
       7.597         0.000
       7.657         0.000
       7.715         0.000
       7.764         0.000
       7.829         0.000
       7.887         0.000
       7.944         0.000
       8.001         0.000
       8.063         0.000
       8.121         0.000
       8.171         0.000
       8.223         0.000
       8.273         0.000
       8.327         0.000
       8.388         0.000
       8.452         0.000
       8.510         0.000
       8.571         0.000
       8.629         0.000
       8.680         0.000
       8.744         0.000
       8.801         0.000
       8.854         0.000
       8.904         0.000
       8.963         0.000
       9.016         0.000
       9.072         0.000
       9.122         0.000
       9.179         0.000
       9.245         0.000
       9.297         0.000
       9.351         0.000
       9.409         0.000
       9.469         0.000
       9.527         0.000
       9.583         0.000
       9.645         0.000
       9.707         0.000
       9.765         0.000
       9.827         0.000
       9.891         0.000
       9.944         0.000
      10.004         0.000
      10.053         0.000
      10.103         0.000
      10.155         0.000
      10.212         0.000
      10.262         0.000
      10.325         0.000
      10.382         0.000
      10.443         0.000
      10.494         0.000
      10.554         0.000
      10.612         0.000
      10.675         0.000
      10.731         0.000
      10.784         0.000
      10.842         0.000
      10.893         0.000
      10.952         0.000
      11.009         0.000
      11.061         0.000
      11.119         0.000
      11.175         0.000
      11.236         0.000
      11.291         0.000
      11.349         0.000
      11.410         0.000
      11.469         0.000
      11.519         0.000
      11.583         0.000
      11.641         0.000
      11.698         0.000
      11.748         0.000
      11.798         0.000
      11.849         0.000
      11.899         0.000
      11.960         0.000
      12.018         0.000
      12.070         0.000
      12.125         0.000
      12.185         0.000
      12.238         0.000
      12.292         0.000
      12.350         0.000
      12.402         0.000
      12.453         0.000
      12.504         0.000
      12.561         0.000
      12.612         0.000
      12.661         0.000
      12.721         0.000
      12.782         0.000
      12.840         0.000
      12.903         0.000
      12.960         0.000
      13.013         0.000
      13.070         0.000
      13.127         0.000
      13.177         0.000
      13.237         0.000
      13.291         0.000
      13.349         0.000
      13.412         0.000
      13.470         0.000
      13.534         0.000
      13.592         0.000
      13.650         0.000
      13.710         0.000
      13.771         0.000
      13.832         0.000
      13.888         0.000
      13.946         0.000
      14.007         0.000
      14.064         0.000
      14.130         0.000
      14.180         0.000
      14.240         0.000
      14.291         0.000
      14.353         0.000
      14.412         0.000
      14.463         0.000
      14.513         0.000
      14.563         0.000
      14.614         0.000
      14.664         0.000
      14.724         0.000
      14.782         0.000
      14.840         0.000
      14.899         0.000
      14.957         0.000
      15.008         0.000
      15.065         0.000
      15.122         0.000
      15.174         0.000
      15.233         0.000
      15.298         0.000
      15.361         0.000
      15.415         0.000
      15.467         0.000
      15.525         0.000
      15.586         0.000
      15.647         0.000
      15.711         0.000
      15.763         0.000
      15.821         0.000
      15.877         0.000
      15.935         0.000
      16.121         0.000
      16.172         0.000
      16.228         0.000
      16.289         0.000
      16.341         0.000
      16.399         0.000
      16.456         0.000
      16.509         0.000
      16.567         0.000
      16.624         0.000
      16.686         0.000
      16.743         0.000
      16.806         0.000
      16.865         0.000
      16.926         0.000
      16.988         0.000
      17.044         0.000
      17.102         0.000
      17.163         0.000
      17.213         0.000
      17.276         0.000
      17.334         0.000
      17.385         0.000
      17.444         0.000
      17.494         0.000
      17.544         0.000
      17.595         0.000
      17.646         0.000
      17.703         0.000
      17.759         0.000
      17.817         0.000
      17.877         0.000
      17.927         0.000
      17.979         0.000
      18.039         0.000
      18.097         0.000
      18.148         0.000
      18.205         0.000
      18.262         0.000
      18.316         0.000
      18.371         0.000
      18.429         0.000
      18.481         0.000
      18.540         0.000
      18.598         0.000
      18.650         0.000
      18.701         0.000
      18.753         0.000
      18.803         0.000
      18.855         0.000
      18.918         0.000
      18.977         0.000
      19.028         0.000
      19.085         0.000
      19.144         0.000
      19.204         0.000
      19.262         0.000
      19.315         0.000
      19.375         0.000
      19.441         0.000
      19.509         0.000
      19.560         0.000
      19.620         0.000
      19.673         0.000
      19.741         0.000
      19.800         0.000
      19.856         0.000
      19.913         0.000
      19.964         0.000
      20.023         0.000
      20.076         0.000
      20.131         0.000
      20.187         0.000
      20.247         0.000
      20.307         0.000
      20.367         0.000
      20.427         0.000
      20.481         0.000
      20.546         0.000
      20.607         0.000
      20.666         0.000
      20.717         0.000
      20.776         0.000
      20.837         0.000
      20.894         0.000
      20.953         0.000
      21.015         0.000
      21.066         0.000
      21.127         0.000
      21.184         0.000
      21.239         0.000
      21.291         0.000
      21.353         0.000
      21.409         0.000
      21.467         0.000
      21.519         0.000
      21.577         0.000
      21.641         0.000
      21.699         0.000
      21.761         0.000
      21.819         0.000
      21.885         0.000
      21.945         0.000
      22.005         0.000
      22.065         0.000
      22.125         0.000
      22.187         0.000
      22.245         0.000
      22.295         0.000
      22.352         0.000
      22.404         0.000
      22.461         0.000
      22.519         0.000
      22.572         0.000
      22.625         0.000
      22.682         0.000
      22.743         0.000
      22.802         0.000
      22.864         0.000
      22.926         0.000
      22.992         0.000
      23.054         0.000
      23.111         0.000
      23.161         0.000
      23.221         0.000
      23.279         0.000
      23.342         0.000
      23.398         0.000
      23.459         0.000
      23.517         0.000
      23.578         0.000
      23.638         0.000
      23.703         0.000
      23.755         0.000
      23.812         0.000
      23.871         0.000
      23.922         0.000
      23.982         0.000
      24.039         0.000
      24.099         0.000
      24.159         0.000
      24.219         0.000
      24.275         0.000
      24.331         0.000
      24.394         0.000
      24.452         0.000
      24.517         0.000
      24.575         0.000
      24.631         0.000
      24.689         0.000
      24.741         0.000
      24.798         0.000
      24.850         0.000
      24.910         0.000
      24.966         0.000
      25.030         0.000
      25.093         0.000
      25.150         0.000
      25.215         0.000
      25.270         0.000
      25.336         0.000
      25.398         0.000
      25.446         0.000
      25.504         0.000
      25.551         0.000
      25.599         0.000
      25.653         0.000
      25.710         0.000
      25.758         0.000
      25.806         0.000
      25.866         0.000
      25.926         0.000
      25.977         0.000
      26.036         0.000
      26.092         0.000
      26.151         0.000
      26.202         0.000
      26.261         0.000
      26.326         0.000
      26.385         0.000
      26.443         0.000
      26.608         0.000
      26.668         0.000
      26.726         0.000
      26.777         0.000
      26.835         0.000
      26.891         0.000
      26.953         0.000
      27.011         0.000
      27.063         0.000
      27.113         0.000
      27.161         0.000
      27.209         0.000
      27.269         0.000
      27.329         0.000
      27.381         0.000
      27.429         0.000
      27.482         0.000
      27.533         0.000
      27.581         0.000
      27.639         0.000
      27.693         0.000
      27.750         0.000
      27.810         0.000
      27.869         0.000
      27.926         0.000
      27.974         0.000
      28.025         0.000
      28.075         0.000
      28.138         0.000
      28.194         0.000
      28.246         0.000
      28.303         0.000
      28.350         0.000
      28.401         0.000
      28.452         0.000
      28.509         0.000
      28.568         0.000
      28.642         0.000
      28.694         0.000
      28.752         0.000
      28.804         0.000
      28.853         0.000
      28.902         0.000
      28.963         0.000
      29.022         0.000
      29.085         0.000
      29.134         0.000
      29.182         0.000
      29.242         0.000
      29.293         0.000
      29.353         0.000
      29.411         0.000
      29.470         0.000
      29.531         0.000
      29.588         0.000
      29.641         0.000
      29.641         0.000
